 ID,PARAM,Date,Flow,SYM
05JG004,1,10/1/1935,0,
05JG004,1,10/2/1935,0,
05JG004,1,10/3/1935,0,
05JG004,1,10/4/1935,0,
05JG004,1,10/5/1935,0,
05JG004,1,10/6/1935,0,
05JG004,1,10/7/1935,0,
05JG004,1,10/8/1935,0,
05JG004,1,10/9/1935,0,
05JG004,1,10/10/1935,0,
05JG004,1,10/11/1935,0,
05JG004,1,10/12/1935,0,
05JG004,1,10/13/1935,0,
05JG004,1,10/14/1935,0,
05JG004,1,10/15/1935,0,
05JG004,1,10/16/1935,0,
05JG004,1,10/17/1935,0,
05JG004,1,10/18/1935,0,
05JG004,1,10/19/1935,0,
05JG004,1,10/20/1935,0,
05JG004,1,10/21/1935,0,
05JG004,1,10/22/1935,0,
05JG004,1,10/23/1935,0,
05JG004,1,10/24/1935,0,
05JG004,1,10/25/1935,0,
05JG004,1,10/26/1935,0,
05JG004,1,10/27/1935,0,
05JG004,1,10/28/1935,0,
05JG004,1,10/29/1935,0,
05JG004,1,10/30/1935,0,
05JG004,1,10/31/1935,0,
05JG004,1,11/1/1935,,
05JG004,1,11/2/1935,,
05JG004,1,11/3/1935,,
05JG004,1,11/4/1935,,
05JG004,1,11/5/1935,,
05JG004,1,11/6/1935,,
05JG004,1,11/7/1935,,
05JG004,1,11/8/1935,,
05JG004,1,11/9/1935,,
05JG004,1,11/10/1935,,
05JG004,1,11/11/1935,,
05JG004,1,11/12/1935,,
05JG004,1,11/13/1935,,
05JG004,1,11/14/1935,,
05JG004,1,11/15/1935,,
05JG004,1,11/16/1935,,
05JG004,1,11/17/1935,,
05JG004,1,11/18/1935,,
05JG004,1,11/19/1935,,
05JG004,1,11/20/1935,,
05JG004,1,11/21/1935,,
05JG004,1,11/22/1935,,
05JG004,1,11/23/1935,,
05JG004,1,11/24/1935,,
05JG004,1,11/25/1935,,
05JG004,1,11/26/1935,,
05JG004,1,11/27/1935,,
05JG004,1,11/28/1935,,
05JG004,1,11/29/1935,,
05JG004,1,11/30/1935,,
05JG004,1,12/1/1935,,
05JG004,1,12/2/1935,,
05JG004,1,12/3/1935,,
05JG004,1,12/4/1935,,
05JG004,1,12/5/1935,,
05JG004,1,12/6/1935,,
05JG004,1,12/7/1935,,
05JG004,1,12/8/1935,,
05JG004,1,12/9/1935,,
05JG004,1,12/10/1935,,
05JG004,1,12/11/1935,,
05JG004,1,12/12/1935,,
05JG004,1,12/13/1935,,
05JG004,1,12/14/1935,,
05JG004,1,12/15/1935,,
05JG004,1,12/16/1935,,
05JG004,1,12/17/1935,,
05JG004,1,12/18/1935,,
05JG004,1,12/19/1935,,
05JG004,1,12/20/1935,,
05JG004,1,12/21/1935,,
05JG004,1,12/22/1935,,
05JG004,1,12/23/1935,,
05JG004,1,12/24/1935,,
05JG004,1,12/25/1935,,
05JG004,1,12/26/1935,,
05JG004,1,12/27/1935,,
05JG004,1,12/28/1935,,
05JG004,1,12/29/1935,,
05JG004,1,12/30/1935,,
05JG004,1,12/31/1935,,
05JG004,1,1/1/1936,,
05JG004,1,1/2/1936,,
05JG004,1,1/3/1936,,
05JG004,1,1/4/1936,,
05JG004,1,1/5/1936,,
05JG004,1,1/6/1936,,
05JG004,1,1/7/1936,,
05JG004,1,1/8/1936,,
05JG004,1,1/9/1936,,
05JG004,1,1/10/1936,,
05JG004,1,1/11/1936,,
05JG004,1,1/12/1936,,
05JG004,1,1/13/1936,,
05JG004,1,1/14/1936,,
05JG004,1,1/15/1936,,
05JG004,1,1/16/1936,,
05JG004,1,1/17/1936,,
05JG004,1,1/18/1936,,
05JG004,1,1/19/1936,,
05JG004,1,1/20/1936,,
05JG004,1,1/21/1936,,
05JG004,1,1/22/1936,,
05JG004,1,1/23/1936,,
05JG004,1,1/24/1936,,
05JG004,1,1/25/1936,,
05JG004,1,1/26/1936,,
05JG004,1,1/27/1936,,
05JG004,1,1/28/1936,,
05JG004,1,1/29/1936,,
05JG004,1,1/30/1936,,
05JG004,1,1/31/1936,,
05JG004,1,2/1/1936,,
05JG004,1,2/2/1936,,
05JG004,1,2/3/1936,,
05JG004,1,2/4/1936,,
05JG004,1,2/5/1936,,
05JG004,1,2/6/1936,,
05JG004,1,2/7/1936,,
05JG004,1,2/8/1936,,
05JG004,1,2/9/1936,,
05JG004,1,2/10/1936,,
05JG004,1,2/11/1936,,
05JG004,1,2/12/1936,,
05JG004,1,2/13/1936,,
05JG004,1,2/14/1936,,
05JG004,1,2/15/1936,,
05JG004,1,2/16/1936,,
05JG004,1,2/17/1936,,
05JG004,1,2/18/1936,,
05JG004,1,2/19/1936,,
05JG004,1,2/20/1936,,
05JG004,1,2/21/1936,,
05JG004,1,2/22/1936,,
05JG004,1,2/23/1936,,
05JG004,1,2/24/1936,,
05JG004,1,2/25/1936,,
05JG004,1,2/26/1936,,
05JG004,1,2/27/1936,,
05JG004,1,2/28/1936,,
05JG004,1,2/29/1936,,
05JG004,1,3/1/1936,,
05JG004,1,3/2/1936,,
05JG004,1,3/3/1936,,
05JG004,1,3/4/1936,,
05JG004,1,3/5/1936,,
05JG004,1,3/6/1936,,
05JG004,1,3/7/1936,,
05JG004,1,3/8/1936,,
05JG004,1,3/9/1936,,
05JG004,1,3/10/1936,,
05JG004,1,3/11/1936,,
05JG004,1,3/12/1936,,
05JG004,1,3/13/1936,,
05JG004,1,3/14/1936,,
05JG004,1,3/15/1936,,
05JG004,1,3/16/1936,,
05JG004,1,3/17/1936,,
05JG004,1,3/18/1936,,
05JG004,1,3/19/1936,,
05JG004,1,3/20/1936,,
05JG004,1,3/21/1936,,
05JG004,1,3/22/1936,,
05JG004,1,3/23/1936,,
05JG004,1,3/24/1936,,
05JG004,1,3/25/1936,,
05JG004,1,3/26/1936,,
05JG004,1,3/27/1936,,
05JG004,1,3/28/1936,,
05JG004,1,3/29/1936,,
05JG004,1,3/30/1936,,
05JG004,1,3/31/1936,,
05JG004,1,4/1/1936,,
05JG004,1,4/2/1936,,
05JG004,1,4/3/1936,,
05JG004,1,4/4/1936,,
05JG004,1,4/5/1936,,
05JG004,1,4/6/1936,,
05JG004,1,4/7/1936,,
05JG004,1,4/8/1936,,
05JG004,1,4/9/1936,,
05JG004,1,4/10/1936,,
05JG004,1,4/11/1936,,
05JG004,1,4/12/1936,,
05JG004,1,4/13/1936,,
05JG004,1,4/14/1936,,
05JG004,1,4/15/1936,,
05JG004,1,4/16/1936,,
05JG004,1,4/17/1936,,
05JG004,1,4/18/1936,,
05JG004,1,4/19/1936,,
05JG004,1,4/20/1936,,
05JG004,1,4/21/1936,,
05JG004,1,4/22/1936,,
05JG004,1,4/23/1936,,
05JG004,1,4/24/1936,,
05JG004,1,4/25/1936,1.11,
05JG004,1,4/26/1936,1.25,
05JG004,1,4/27/1936,1.18,
05JG004,1,4/28/1936,1.16,
05JG004,1,4/29/1936,1.19,
05JG004,1,4/30/1936,1,
05JG004,1,5/1/1936,0.98,
05JG004,1,5/2/1936,0.861,
05JG004,1,5/3/1936,0.748,
05JG004,1,5/4/1936,0.702,
